Title,Authors,Method,Method family,Pretraining datasets,Evaluation datasets,All datasets,Year,Venue,Is NeurIPS,Publication status,DOI,arXiv ID,Paper URL,Code URL,Dataset notes,Verified as of
Privacy Preservation Using Superimposed 3D-Models for Self-Supervised Training in Action Recognition,"Asfandyar Azhar, Nidhish Shah, Shaurjya Mandal, Yongjie Jessica Zhang;",Private-MO,Other / Hybrid,Kinetics-150; M2M-Kinetics,UCF101; HMDB51; Diving48; IKEA Furniture Assembly; UAV-Human; VISPR,Kinetics-150; M2M-Kinetics; UCF101; HMDB51; Diving48; IKEA Furniture Assembly; UAV-Human; VISPR,2025,ICCV Workshops 2025,No,peer_reviewed,10.1109/ICCVW69036.2025.00241,,https://openaccess.thecvf.com/content/ICCV2025W/SafeMM-AI/html/Mandal_Privacy_Preservation_Using_Superimposed_3D-Models_for_Self-Supervised_Training_in_Action_ICCVW_2025_paper.html,,Kinetics-150 is curated from Kinetics-400; M2M-Kinetics is the privacy-preserving 3D-overlay version. VISPR denotes the paper's privacy evaluation subset.,2026-08-11
Progressive self-supervised spatio-temporal feature learning based on video sequence saliency,"Jinlong Kang, Tao Xu, Boting Qu, Xiang Wang, Xiaoli Lian, Jing Guo, Yuan Gao",PSSFL-VSS,Pretext / Predictive,Kinetics; UCF101; HMDB51,UCF101; HMDB51; Kinetics,Kinetics; UCF101; HMDB51,2025,"Proceedings of SPIE, ICVIP 2024",No,peer_reviewed,10.1117/12.3059113,,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13558/1355809/Progressive-self-supervised-spatio-temporal-feature-learning-based-on-video/10.1117/12.3059113.short,,"The publisher abstract confirms clip/video retrieval and action-recognition experiments. UCF101, HMDB51, and Kinetics are the benchmark definitions present in the publisher metadata; the closed full text prevents a more granular split assignment.",2026-08-11
Reinforcement Learning Meets Masked Video Modeling: Trajectory-Guided Adaptive Token Selection,"Ayush K. Rai, Kyle Min, Tarun Krishna, Feiyan Hu, Alan F. Smeaton, Noel E. O'Connor",Trajectory-Aware Token Selection (TATS),Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51,Kinetics-400; Something-Something V2; UCF101; HMDB51,2025,ICCV Workshops 2025,No,peer_reviewed,10.1109/ICCVW69036.2025.00730,2505.08561,https://openaccess.thecvf.com/content/ICCV2025W/LongVid-Foundation/html/K._Reinforcement_Learning_meets_Masked_Video_Modeling__Trajectory-Guided_Adaptive_Token_ICCVW_2025_paper.html,,,2026-08-11
Self-Supervised Learning of Motion Concepts by Optimizing Counterfactuals,"Stefan Stojanov, David Wendt, Seungwoo Kim, Rahul Venkatesh, Kevin Feigelis, Jiajun Wu, Daniel LK Yamins",Optimized Counterfactual World Models (Opt-CWM),Pretext / Predictive,Kinetics-400,TAP-Vid DAVIS; TAP-Vid Kinetics; TAP-Vid Kubric,Kinetics-400; TAP-Vid DAVIS; TAP-Vid Kinetics; TAP-Vid Kubric,2025,NeurIPS 2025,Yes,peer_reviewed,10.52202/085713-0921,2503.19953,https://openreview.net/forum?id=fGuTN7huo5,,,2026-08-11
Self-supervised video representation learning based on foreground and temporal information.,"Zhongliang Zhou, Jiayong Fang ;",Foreground and Temporal Information SSL,Pretext / Predictive,UCF101; HMDB51; Self-built video dataset,UCF101; HMDB51; Self-built video dataset,UCF101; HMDB51; Self-built video dataset,2025,"Proceedings of SPIE, ETAI 2025",No,peer_reviewed,10.1117/12.3068403,,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13692/136923T/Self-supervised-video-representation-learning-based-on-foreground-and-temporal/10.1117/12.3068403.short,,"The proceedings metadata names UCF101, HMDB51, and an author-built dataset but does not expose a public name for the latter.",2026-08-11
SF2T: Self-supervised Fragment Finetuning of Video-LLMs for Fine-Grained Understanding,"Yangliu Hu, Zikai Song, Na Feng, Yawei Luo, Junqing Yu, Yi-Ping Phoebe Chen, Wei Yang; ;",SF2T,Cross-Modal,Something-Something V2; Moments in Time,FineVidBench; MVBench; Video-MME; TempCompass,Something-Something V2; Moments in Time; FineVidBench; MVBench; Video-MME; TempCompass,2025,CVPR 2025,No,peer_reviewed,10.1109/CVPR52734.2025.02710,,https://openaccess.thecvf.com/content/CVPR2025/html/Hu_SF2T_Self-supervised_Fragment_Finetuning_of_Video-LLMs_for_Fine-Grained_Understanding_CVPR_2025_paper.html,,"FineVidBench is assembled from Something-Something V2, Moments in Time, and Ego4D fragments.",2026-08-11
SMILE: Infusing Spatial and Motion Semantics in Masked Video Learning,"Fida Mohammad Thoker, Letian Jiang, Chen Zhao†, Bernard Ghanem",SMILE,Generative / Masked,Kinetics-400; Something-Something V2; Places-80K,Kinetics-400; Something-Something V2; UCF101; HMDB51; FineGYM; GYM99; EPIC-KITCHENS-100; Charades; FX-S1; UB-S1; UCF-RC; DAVIS; YouTube-VOS; THUMOS14; ActivityNet v1.3,Kinetics-400; Something-Something V2; Places-80K; UCF101; HMDB51; FineGYM; GYM99; EPIC-KITCHENS-100; Charades; FX-S1; UB-S1; UCF-RC; DAVIS; YouTube-VOS; THUMOS14; ActivityNet v1.3,2025,CVPR 2025,No,peer_reviewed,,2504.00527,https://openaccess.thecvf.com/content/CVPR2025/html/Thoker_SMILE_Infusing_Spatial_and_Motion_Semantics_in_Masked_Video_Learning_CVPR_2025_paper.html,https://github.com/fmthoker/SMILE,Places-80K and noise sources are used in synthetic-motion ablations. The long evaluation list includes the SEVERE robustness suite.,2026-08-11
ST-HViT: spatial-temporal hierarchical vision transformer for action recognition,"Limin Xia, Weiye Fu",ST-HViT,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,2025,Pattern Analysis and Applications 2025,No,peer_reviewed,10.1007/s10044-024-01407-4,,https://link.springer.com/article/10.1007/s10044-024-01407-4,,,2026-08-11
"V-JEPA 2: Self-Supervised Video Models Enable Understanding, Prediction and Planning","Mido Assran, Adrien Bardes, David Fan, Quentin Garrido, Russell Howes, Mojtaba, Komeili, Matthew Muckley, Ammar Rizvi, Claire Roberts, Koustuv Sinha, Artem Zholus, Sergio Arnaud, Abha Gejji, Ada Martin, Francois Robert Hogan, Daniel Dugas, Piotr Bojanowski, Vasil Khalidov, Patrick Labatut, Francisco Massa, Marc Szafraniec, Kapil Krishnakumar, Yong Li, Xiaodong Ma, Sarath Chandar, Franziska Meier, Yann LeCun, Michael Rabbat, Nicolas Ballas ;",V-JEPA 2 / V-JEPA 2-AC,Pretext / Predictive,VideoMix22M; Something-Something V2; Kinetics-400; Kinetics-600; Kinetics-700; HowTo100M; YT-Temporal-1B; ImageNet-1K; DROID,Something-Something V2; Diving48; Jester; Kinetics-400; COIN; ImageNet-1K; EPIC-KITCHENS-100; Perception Test; MVP; TempCompass; TemporalBench; TOMATO; MVBench; TVBench; DROID,VideoMix22M; Something-Something V2; Kinetics-400; Kinetics-600; Kinetics-700; HowTo100M; YT-Temporal-1B; ImageNet-1K; DROID; Diving48; Jester; COIN; EPIC-KITCHENS-100; Perception Test; MVP; TempCompass; TemporalBench; TOMATO; MVBench; TVBench,2025,arXiv preprint,No,preprint,,2506.09985,https://arxiv.org/abs/2506.09985,https://github.com/facebookresearch/vjepa2,VideoMix22M combines the listed image and video sources; DROID is used for action-conditioned robot post-training rather than foundation pretraining.,2026-08-11
ViDROP: Video Dense Representation through Spatio-Temporal Sparsity,"Sepehr Sameni, Simon Jenni, Paolo Favaro; ;",ViDROP,Generative / Masked,Kinetics-400,Kinetics-400; Something-Something V2; UCF101; HMDB51; THUMOS14; ImageNet-1K; DAVIS; VSC23,Kinetics-400; Something-Something V2; UCF101; HMDB51; THUMOS14; ImageNet-1K; DAVIS; VSC23,2025,CVPR Workshops 2025,No,peer_reviewed,10.1109/CVPRW67362.2025.00300,,https://openaccess.thecvf.com/content/CVPR2025W/eLVM/html/Sameni_ViDROP_Video_Dense_Representation_through_Spatio-Temporal_Sparsity_CVPRW_2025_paper.html,,,2026-08-11
When the Future Becomes the Past: Taming Temporal Correspondence for Self-supervised Video Representation Learning,"Yang Liu, Qianqian Xu, Peisong Wen, Siran Dai, Qingming Huang;",T-CoRe,Contrastive,Kinetics-400,DAVIS 2017; VIP; JHMDB,Kinetics-400; DAVIS 2017; VIP; JHMDB,2025,CVPR 2025,No,peer_reviewed,10.1109/CVPR52734.2025.02238,,https://openaccess.thecvf.com/content/CVPR2025/html/Liu_When_the_Future_Becomes_the_Past_Taming_Temporal_Correspondence_for_CVPR_2025_paper.html,,,2026-08-11
Asymmetric Masked Distillation for Pre-Training Small Foundation Models,"Zhiyu Zhao, Bingkun Huang, Sen Xing, Gangshan Wu, Yu Qiao, Limin Wang",Asymmetric Masked Distillation (AMD),Generative / Masked,ImageNet-1K; Kinetics-400; Something-Something V2,ImageNet-1K; Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA v2.2,ImageNet-1K; Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA v2.2,2024,CVPR 2024,No,peer_reviewed,,2311.03149,https://openaccess.thecvf.com/content/CVPR2024/html/Zhao_Asymmetric_Masked_Distillation_for_Pre-Training_Small_Foundation_Models_CVPR_2024_paper.html,,The paper reports an image AMD setting on ImageNet-1K and video AMD settings on Kinetics-400 and Something-Something V2.,2026-08-11
Clustering-based multi-featured self-supervised learning for human activities and video retrieval,"Muhammad Hafeez Javed, Zeng Yu, Taha M. Rajeh, Fahad Rafique & Tianrui Li",CMS2L,Contrastive,UCF101; HMDB51,UCF101; HMDB51,UCF101; HMDB51,2024,Applied Intelligence 2024,No,peer_reviewed,10.1007/s10489-024-05460-8,,https://link.springer.com/article/10.1007/s10489-024-05460-8,,The full-text evaluation figures identify UCF101 and HMDB51 action-recognition and retrieval benchmarks.,2026-08-11
Controllable Augmentations for Video Representation Learning,"Rui Qian, Weiyao Lin, John See, Dian Li",Controllable Augmentations,Contrastive,Kinetics-400; UCF101,Kinetics-400; UCF101; HMDB51; ActivityNet,Kinetics-400; UCF101; HMDB51; ActivityNet,2024,Visual Intelligence 2024,No,peer_reviewed,10.1007/s44267-023-00034-7,2203.16632,https://link.springer.com/article/10.1007/s44267-023-00034-7,,,2026-08-11
CycleCL: Self-supervised Learning for Periodic Videos,"Matteo Destro, Michael Gygl",CycleCL,Contrastive,Industrial periodic-motion videos; Countix,Industrial periodic-motion videos; Countix; QUVA Repetition; PERTUBE,Industrial periodic-motion videos; Countix; QUVA Repetition; PERTUBE,2024,WACV 2024,No,peer_reviewed,10.1109/WACV57701.2024.00284,,https://openaccess.thecvf.com/content/WACV2024/html/Destro_CycleCL_Self-Supervised_Learning_for_Periodic_Videos_WACV_2024_paper.html,,,2026-08-11
Data Collection-free Masked Video Modeling,"Yuchi Ishikawa, Masayoshi Kondo, Yoshimitsu Aoki",Pseudo Motion Generator (PMG) with masked video modeling,Generative / Masked,ImageNet-1K; PASS; FractalDB; Shaders1k; Visual Atom,UCF101; HMDB51; Mini Something-Something V2; Diving48; IKEA Furniture Assembly; UAV-Human; Kinetics-400,ImageNet-1K; PASS; FractalDB; Shaders1k; Visual Atom; UCF101; HMDB51; Mini Something-Something V2; Diving48; IKEA Furniture Assembly; UAV-Human; Kinetics-400,2024,ECCV 2024,No,peer_reviewed,10.1007/978-3-031-73247-8_3,2409.06665,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/1790_ECCV_2024_paper.php,,"PMG is evaluated with real and synthetic static-image sources; the downstream suite includes small, domain-shifted, and large-scale action datasets.",2026-08-11
ES3: Evolving Self-Supervised Learning of Robust Audio-Visual Speech Representations,"Yuanhang Zhang, Shuang Yang, Shiguang Shan, Xilin Chen;",ES3,Multimodal / Audio-Visual,LRS2-BBC; LRS3-TED,LRS2-BBC; LRS3-TED; CAS-VSR-S101,LRS2-BBC; LRS3-TED; CAS-VSR-S101,2024,CVPR 2024,No,peer_reviewed,10.1109/CVPR52733.2024.02556,,https://openaccess.thecvf.com/content/CVPR2024/html/Zhang_ES3_Evolving_Self-Supervised_Learning_of_Robust_Audio-Visual_Speech_Representations_CVPR_2024_paper.html,,The primary configurations use 223 hours of LRS2-BBC and 433 hours of LRS3-TED; VoxCeleb2-En is discussed as an unavailable scale alternative.,2026-08-11
EVEREST: Efficient Masked Video Autoencoder by Removing Redundant Spatiotemporal Tokens,"Sunil Hwang, Jaehong Yoon, Youngwan Lee, Sung Ju Hwan",EVEREST,Generative / Masked,Kinetics-400; Something-Something V2; Ego4D,Kinetics-400; Something-Something V2; UCF101; HMDB51; Ego4D,Kinetics-400; Something-Something V2; Ego4D; UCF101; HMDB51,2024,ICML 2024,No,peer_reviewed,,2211.10636,https://proceedings.mlr.press/v235/hwang24d.html,https://github.com/sunilhoho/VideoMS,,2026-08-11
Extending Video Masked Autoencoders to 128 Frames,"Nitesh Bharadwaj Gundavarapu, Luke Friedman, Raghav Goyal, Chaitra Hegde, Eirikur Agustsson, Sagar M. Waghmare, Mikhail Sirotenko, Ming-Hsuan Yang, Tobias Weyand, Boqing Gong, Leonid Sigal",Long VideoMAE (LVMAE),Generative / Masked,Kinetics-600; Kinetics-710; EPIC-KITCHENS-100; Diving48,EPIC-KITCHENS-100; Diving48; Something-Something V2; FineGym288,Kinetics-600; Kinetics-710; EPIC-KITCHENS-100; Diving48; Something-Something V2; FineGym288,2024,NeurIPS 2024,Yes,peer_reviewed,10.52202/079017-3856,2411.13683,https://proceedings.neurips.cc/paper_files/paper/2024/hash/8f08d4f7b00b763c2553f73d34157b0d-Abstract-Conference.html,,The learned token selector uses Kinetics-600; some long-video training also incorporates unlabeled Kinetics-710 clips.,2026-08-11
FILS: Self-Supervised Video Feature Prediction In Semantic Language Space,"Mona Ahmadian, Frank Guerin, Andrew Gilbert",FILS,Generative / Masked,EPIC-KITCHENS-100; Something-Something V2,EPIC-KITCHENS-100; Something-Something V2; Charades-Ego; EGTEA Gaze+,EPIC-KITCHENS-100; Something-Something V2; Charades-Ego; EGTEA Gaze+,2024,BMVC 2024,No,peer_reviewed,,2406.03447,https://bmva-archive.org.uk/bmvc/2024/papers/Paper_790/paper.pdf,,,2026-08-11
GLOCAL: A self-supervised learning framework for global and local motion estimation,"Yihao Zheng , Kunming Luo , Shuaicheng Liu , Zun Li , Ye Xiang , Lifang Wu , Bing Zeng , Chang Wen Chen",GLOCAL,Pretext / Predictive,Deep Homography Estimation dataset; NCAA; UCF101,Deep Homography Estimation dataset; NCAA; UCF101,Deep Homography Estimation dataset; NCAA; UCF101,2024,Pattern Recognition Letters 2024,No,peer_reviewed,10.1016/j.patrec.2023.12.024,,https://www.sciencedirect.com/science/article/pii/S016786552300377X,,,2026-08-11
Learning to Predict Activity Progress by Self-Supervised Video Alignment,"Gerard Donahue, Ehsan Elhamifar;",Generalized Temporal Cycle Consistency (GTCC),Pretext / Predictive,Pouring; Penn Action; COIN; EgoProceL,Pouring; Penn Action; COIN; EgoProceL; CMU-MMAC; EGTEA Gaze+; MECCANO; EPIC-Tent,Pouring; Penn Action; COIN; EgoProceL; CMU-MMAC; EGTEA Gaze+; MECCANO; EPIC-Tent,2024,CVPR 2024,No,peer_reviewed,10.1109/CVPR52733.2024.01766,,https://openaccess.thecvf.com/content/CVPR2024/html/Donahue_Learning_to_Predict_Activity_Progress_by_Self-Supervised_Video_Alignment_CVPR_2024_paper.html,https://github.com/gerardDonahue/GTCC_CVPR2024,"EgoProceL aggregates CMU-MMAC, EGTEA Gaze+, MECCANO, and EPIC-Tent procedure videos.",2026-08-11
MAR: Masked Autoencoders for Efficient Action Recognition,"Zhiwu Qing, Shiwei Zhang, Ziyuan Huang, Xiang Wang, Yuehuan Wang, Yiliang Lv, Changxin Gao, Nong Sang",Masked Action Recognition (MAR),Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51,Kinetics-400; Something-Something V2; UCF101; HMDB51,2024,IEEE Transactions on Multimedia 2024,No,peer_reviewed,10.1109/TMM.2023.3263288,2207.11660,https://ieeexplore.ieee.org/document/10089159,https://github.com/alibaba-mmai-research/Masked-Action-Recognition,,2026-08-11
Motion-guided spatiotemporal multitask feature discrimination for self-supervised video representation learning,"Shuai Bi, Zhengping Hu, Hehao Zhang, Jirui Di, Zhe Sun",Motion-guided Spatiotemporal Multitask Feature Discrimination,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51,Kinetics-400; UCF101; HMDB51,2024,Pattern Recognition 2024,No,peer_reviewed,10.1016/j.patcog.2024.110713,,https://www.sciencedirect.com/science/article/pii/S0031320324004643,,,2026-08-11
MotionMAE: Self-supervised Video Representation Learning with Motion-Aware Masked Autoencoders,"Haosen Yang, Deng Huang, Bin Wen, Jiannan Wu, Hongxun Yao, Yi Jiang, Xiatian Zhu, Zehuan Yuan",MotionMAE,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51; DAVIS 2017,Kinetics-400; Something-Something V2; UCF101; HMDB51; DAVIS 2017,2024,BMVC 2024,No,peer_reviewed,,2210.04154,https://bmvc2024.org/proceedings/499/,https://github.com/happy-hsy/MotionMAE,,2026-08-11
No More Shortcuts: Realizing the Potential of Temporal Self-Supervision,"Ishan Rajendrakumar Dave, Simon Jenni, Mubarak Shah.",Out-of-order Frame Localization (OFL) and Time-varying Skiprate Prediction (TSP),Pretext / Predictive,Kinetics-400; UCF101,UCF101; HMDB51; Kinetics-400; Something-Something V2; NTU RGB+D 60; Charades; HVU; DAVIS 2017; JHMDB; CASIA-B,Kinetics-400; UCF101; HMDB51; Something-Something V2; NTU RGB+D 60; Charades; HVU; DAVIS 2017; JHMDB; CASIA-B,2024,AAAI 2024,No,peer_reviewed,10.1609/aaai.v38i2.27913,2312.13008,https://ojs.aaai.org/index.php/AAAI/article/view/27913,,UCF101 is used for core ablations; the main transferable representation is pretrained on Kinetics-400.,2026-08-11
Positive and negative sampling strategies for self-supervised learning on audio-video data,"Shanshan Wang, Soumya Tripathy, Toni Heittola, Annamaria Mesaros",Class-aware soft-positive audio-visual contrastive sampling,Multimodal / Audio-Visual,VGGSound,VGGSound; TAU Urban Audio-Visual Scenes 2021; FSDnoisy18k,VGGSound; TAU Urban Audio-Visual Scenes 2021; FSDnoisy18k,2024,ICASSP Workshops 2024,No,peer_reviewed,10.1109/ICASSPW62465.2024.10626141,2402.02899,https://cmsworkshops.com/ICASSP2024/view_paper.php?PaperNum=11780,,,2026-08-11
Repeat and learn: Self-supervised visual representations learning by Repeated Scene Localization,"Yuanhang Zhang, Shuang Yang, Shiguang Shan, Xilin Chen;",Repeated Scene Localization (RSL),Pretext / Predictive,UCF101; HMDB51,UCF101; HMDB51,UCF101; HMDB51,2024,Pattern Recognition 2024,No,peer_reviewed,10.1016/j.patcog.2024.110804,,https://www.sciencedirect.com/science/article/pii/S0031320324005557,https://github.com/Hussein-A-Hassan/RSL-Pretext,,2026-08-11
Scaling 4D Representations,João Carreira et al.,4DS / SimpleMAE scaling study,Generative / Masked,170M web videos,Perception Test; Waymo Open; RealEstate10K; ScanNet; Something-Something V2; Kinetics-700-2020,170M web videos; Perception Test; Waymo Open; RealEstate10K; ScanNet; Something-Something V2; Kinetics-700-2020,2024,arXiv / Preprint,No,preprint,,2412.15212,https://arxiv.org/abs/2412.15212,,The pretraining corpus is described by scale rather than released as a named public dataset.,2026-08-11
Self-supervised Learning of Semantic Correspondence Using Web Videos,"Donghyeon Kwon, Minsu Cho, Suha Kwak;",Web-video correspondence mining with domain adaptation,Pretext / Predictive,"2,124 class-retrieved web videos",PF-PASCAL; PF-Willow; SPair-71K,"2,124 class-retrieved web videos; PF-PASCAL; PF-Willow; SPair-71K",2024,WACV 2024,No,peer_reviewed,10.1109/WACV57701.2024.00214,,https://openaccess.thecvf.com/content/WACV2024/html/Kwon_Self-Supervised_Learning_of_Semantic_Correspondence_Using_Web_Videos_WACV_2024_paper.html,,The web videos are retrieved using object classes represented in the three target correspondence benchmarks.,2026-08-11
Self-supervised learning of video representations from a child's perspective,"A. Emin Orhan, Wentao Wang, Alex N. Wang, Mengye Ren, Brenden M. Lake;",Spatiotemporal MAE on child-perspective video,Generative / Masked,SAYCam; Kinetics-700; Kinetics-200h,Something-Something V2; Kinetics-700; ImageNet-1K; OOD ImageNet,SAYCam; Kinetics-700; Kinetics-200h; Something-Something V2; ImageNet-1K; OOD ImageNet,2024,CogSci 2024,No,peer_reviewed,,2402.00300,https://escholarship.org/uc/item/5ng8w8tv,https://github.com/eminorhan/video-models,OOD ImageNet denotes the 17 perturbation and transformation tasks used by the paper.,2026-08-11
Self-Supervised Learning via Multi-Transformation Classification for Action Recognition,Duc-Quang Vu; Ngan Le; Jia-Ching Wang,Multi-Transformation Classification,Pretext / Predictive,UCF101; HMDB51,UCF101; HMDB51,UCF101; HMDB51,2024,ICME Workshops 2024,No,peer_reviewed,10.1109/ICMEW63481.2024.10645477,2102.10378,https://doi.org/10.1109/ICMEW63481.2024.10645477,,,2026-08-11
Self-supervised Video Object Segmentation with Distillation Learning of Deformable Attention,"Quang-Trung Truong,Duc Thanh Nguyen, Binh-Son Hua, Sai-Kit Yeung",Deformable-attention distillation for VOS,Distillation / Teacher-Student,DAVIS 2016; DAVIS 2017; YouTube-VOS 2018; YouTube-VOS 2019,DAVIS 2016; DAVIS 2017; YouTube-VOS 2018; YouTube-VOS 2019,DAVIS 2016; DAVIS 2017; YouTube-VOS 2018; YouTube-VOS 2019,2024,arXiv / Preprint,No,preprint,,2401.13937,https://arxiv.org/abs/2401.13937,,,2026-08-11
Self-Supervised Video Representation Learning by Video Incoherence Detection,"Haozhi Cao, Yuecong Xu, Kezhi Mao, Lihua Xie, Jianxiong Yin, Simon See, Qianwen Xu, and Jianfei Yang",Video Incoherence Detection (VID),Pretext / Predictive,UCF101; HMDB51; Kinetics-400,UCF101; HMDB51; Kinetics-400,UCF101; HMDB51; Kinetics-400,2024,IEEE Transactions on Cybernetics 2024,No,peer_reviewed,10.1109/TCYB.2023.3265393,2109.12493,https://ieeexplore.ieee.org/document/10106103,,,2026-08-11
Self-supervised Video Representation Learning via Capturing Semantic Changes Indicated by Saccades,"Qiuxia Lai, Ailing Zeng, Ye Wang, Lihong Cao, Yu Li, Qiang Xu, IEEE",Saccade-inspired semantic-change learning,Contrastive,UCF101; HMDB51,UCF101; HMDB51,UCF101; HMDB51,2024,IEEE Transactions on Circuits and Systems for Video Technology 2024,No,peer_reviewed,10.1109/TCSVT.2023.3290938,,https://ieeexplore.ieee.org/document/10168973,,,2026-08-11
SIGMA: Sinkhorn-Guided Masked Video Modeling,"Mohammadreza Salehi, Michael Dorkenwald, Fida Mohammad Thoker, Efstratios Gavves, Cees G. M. Snoek & Yuki M. Asano",SIGMA,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51; ImageNet-1K; CIFAR-100; FineGym Gym99; FineGym FX-S1; FineGym UB-S1; UCFRep; Charades,Kinetics-400; Something-Something V2; UCF101; HMDB51; ImageNet-1K; CIFAR-100; FineGym Gym99; FineGym FX-S1; FineGym UB-S1; UCFRep; Charades,2024,ECCV 2024,No,peer_reviewed,10.1007/978-3-031-72691-0_17,,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/3506_ECCV_2024_paper.php,https://quva-lab.github.io/SIGMA,"The SEVERE suite contributes Gym99, UCF101 and FineGym low-shot tests, FX-S1, UB-S1, UCFRep, and Charades.",2026-08-11
ST2ST: Self-Supervised Test-time Adaptation for Video Action Recognition,"Masud An-Nur Islam Fahim, Mohammed Innat, Jani Boutellier;",ST2ST,Other / Hybrid,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; Kinetics-400-C; Something-Something V2-C,Kinetics-400; Something-Something V2; Kinetics-400-C; Something-Something V2-C,2024,CVPR Workshops 2024,No,peer_reviewed,10.1109/CVPRW63382.2024.00112,,https://openaccess.thecvf.com/content/CVPR2024W/MAT/html/Fahim_ST2ST_Self-Supervised_Test-time_Adaptation_for_Video_Action_Recognition_CVPRW_2024_paper.html,,,2026-08-11
Structured Video-Language Modeling with Temporal Grouping and Spatial Grounding,"Xiong, Y., Zhao, L., Gong, B., Yang, M. H., Schroff, F., Liu, T., ... & Yuan, L.",S-ViLM,Multimodal / Audio-Visual,Kinetics-400; VideoCC; ActivityNet Captions,MSR-VTT; MSRVTT-QA; MSVD-QA; UCF101; HMDB51; ActivityNet,Kinetics-400; VideoCC; ActivityNet Captions; MSR-VTT; MSRVTT-QA; MSVD-QA; UCF101; HMDB51; ActivityNet,2024,ICLR 2024,No,peer_reviewed,,2303.16341,https://openreview.net/forum?id=5dlfiJIXoh,,,2026-08-11
Text-Guided Video Masked Autoencoder,"David Fan, Jue Wang, Shuai Liao, Zhikang Zhang, Vimal Bhat, Xinyu Li",Text-Guided Masking (TGM),Generative / Masked,Something-Something V2; Kinetics-400,Something-Something V2; Kinetics-400; UCF101; HMDB51; Diving48; EPIC-KITCHENS-55,Something-Something V2; Kinetics-400; UCF101; HMDB51; Diving48; EPIC-KITCHENS-55,2024,ECCV 2024,No,peer_reviewed,10.1007/978-3-031-72652-1_17,2408.00759,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/1737_ECCV_2024_paper.php,,,2026-08-11
Towards Latent Masked Image Modeling for Self-supervised Visual Representation Learning,"Yibing Wei, Abhinav Gupta & Pedro Morgado",Latent MIM,Generative / Masked,ImageNet-100; ImageNet-1K,ImageNet-1K; DAVIS 2017; Caltech101; DTD; Oxford Flowers 102; Oxford-IIIT Pets; Stanford Cars; SUN397; UCF101,ImageNet-100; ImageNet-1K; DAVIS 2017; Caltech101; DTD; Oxford Flowers 102; Oxford-IIIT Pets; Stanford Cars; SUN397; UCF101,2024,ECCV 2024,No,peer_reviewed,10.1007/978-3-031-72933-1_1,2407.15837,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/5568_ECCV_2024_paper.php,https://github.com/yibingwei-1/LatentMIM,,2026-08-11
ViC-MAE: Self-supervised Representation Learning from Images and Video with Contrastive Masked Autoencoders,"Jefferson Hernandez, Ruben Villegas, Vicente Ordonez;",ViC-MAE,Other / Hybrid,Moments in Time; Kinetics-400; Kinetics-600; Kinetics-700; Kinetics-710; ImageNet-1K,ImageNet-1K; Kinetics-400; Something-Something V2; Places365; Caltech101; CIFAR-10; CIFAR-100; DTD; Flowers102; Food101; Oxford-IIIT Pets; SUN397,Moments in Time; Kinetics-400; Kinetics-600; Kinetics-700; Kinetics-710; ImageNet-1K; Something-Something V2; Places365; Caltech101; CIFAR-10; CIFAR-100; DTD; Flowers102; Food101; Oxford-IIIT Pets; SUN397,2024,ECCV 2024,No,peer_reviewed,10.1007/978-3-031-73235-5_25,2303.12001,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/00629_ECCV_2024_paper.php,https://github.com/jeffhernandez1995/ViC-MAE,,2026-08-11
VicTR: Video-conditioned Text Representations for Activity Recognition,"Kumara Kahatapitiya, Anurag Arnab, Arsha Nagrani, Michael S. Ryoo",VicTR,Multimodal / Audio-Visual,Kinetics-400,HMDB51; UCF101; Kinetics-400; Charades,Kinetics-400; HMDB51; UCF101; Charades,2024,CVPR 2024,No,peer_reviewed,,2304.02560,https://openaccess.thecvf.com/content/CVPR2024/html/Kahatapitiya_VicTR_Video-conditioned_Text_Representations_for_Activity_Recognition_CVPR_2024_paper.html,,,2026-08-11
